year,County,State,Cardiovascular deaths,
2005,Aleutians East,AK,333.7,  
2005,Sitka,AK,366.8,  
2005,Haines,AK,377.5,  
2005,Juneau,AK,377.5,  
2005,Denali,AK,410.9,  
2005,Fairbanks North Star,AK,419.2,  
2005,Anchorage,AK,430.2,  
2005,Kodiak Island,AK,430.4,  
2005,Kenai Peninsula,AK,440.6,  
2005,Lake and Peninsula,AK,448.5,  
2005,Ketchikan Gateway,AK,450.3,  
2005,Yukon-Koyukuk,AK,456.5,  
2005,Valdez-Cordova,AK,461.8,  
2005,Nome,AK,464.9,  
2005,Northwest Arctic,AK,478.1,  
2005,Southeast Fairbanks,AK,489,  
2005,Matanuska-Susitna,AK,505.5,  
2005,Bethel,AK,512.9,  
2005,Wade Hampton,AK,527,  
2005,Dillingham,AK,529.1,  
2005,North Slope,AK,535.7,  
2005,Aleutians West,AK,613.3,  
2005,Lauderdale,AL,480.9,  
2005,Shelby,AL,502.8,  
2005,Madison,AL,519.8,  
2005,Montgomery,AL,575.2,  
2005,Baldwin,AL,586.7,  
2005,Cherokee,AL,596.8,  
2005,Dale,AL,599.2,  
2005,Lee,AL,610.7,  
2005,Monroe,AL,613.1,  
2005,Escambia,AL,613.8,  
2005,Jefferson,AL,613.9,  
2005,Houston,AL,616.8,  
2005,Elmore,AL,616.9,  
2005,Crenshaw,AL,625.2,  
2005,Russell,AL,630.3,  
2005,Geneva,AL,632.8,  
2005,Coffee,AL,643,  
2005,Clarke,AL,655.6,  
2005,Washington,AL,656.9,  
2005,Fayette,AL,658.4,  
2005,Tuscaloosa,AL,667.7,  
2005,Blount,AL,668.5,  
2005,Limestone,AL,671,  
2005,Morgan,AL,673.9,  
2005,Covington,AL,676.4,  
2005,St. Clair,AL,677.6,  
2005,Colbert,AL,678.1,  
2005,Cleburne,AL,678.8,  
2005,Coosa,AL,680.2,  
2005,Sumter,AL,682.1,  
2005,Randolph,AL,683.9,  
2005,Mobile,AL,684.7,  
2005,Pickens,AL,685.5,  
2005,Lamar,AL,688.9,  
2005,Barbour,AL,691.3,  
2005,Conecuh,AL,691.5,  
2005,Chilton,AL,693.9,  
2005,Tallapoosa,AL,696.6,  
2005,Choctaw,AL,704,  
2005,Bibb,AL,704.3,  
2005,Clay,AL,711,  
2005,Hale,AL,712.3,  
2005,Winston,AL,727,  
2005,Henry,AL,727.1,  
2005,Jackson,AL,731,  
2005,Autauga,AL,734.7,  
2005,Talladega,AL,735.7,  
2005,Marion,AL,740.5,  
2005,Franklin,AL,748.7,  
2005,Chambers,AL,749.6,  
2005,Cullman,AL,751.1,  
2005,Greene,AL,752.9,  
2005,Butler,AL,757.4,  
2005,Lawrence,AL,766.6,  
2005,Marshall,AL,773.1,  
2005,Etowah,AL,773.9,  
2005,Calhoun,AL,775,  
2005,Bullock,AL,788,  
2005,Perry,AL,798.9,  
2005,Wilcox,AL,811.2,  
2005,DeKalb,AL,811.9,  
2005,Marengo,AL,816.8,  
2005,Macon,AL,819.7,  
2005,Walker,AL,848.9,  
2005,Pike,AL,858.6,  
