year,county,Divorced; Estimate; Population 15 years and over
2005,"Baldwin County, Alabama",10.6
2005,"Calhoun County, Alabama",14.2
2005,"Cullman County, Alabama",11.7
2005,"DeKalb County, Alabama",12.6
2005,"Elmore County, Alabama",10
2005,"Etowah County, Alabama",11.7
2005,"Houston County, Alabama",12.5
2005,"Jefferson County, Alabama",11.6
2005,"Lauderdale County, Alabama",10.7
2005,"Lee County, Alabama",7.9
2005,"Limestone County, Alabama",10.4
2005,"Madison County, Alabama",12.5
2005,"Marshall County, Alabama",13.3
2005,"Mobile County, Alabama",12
2005,"Montgomery County, Alabama",10.7
2005,"Morgan County, Alabama",10.2
2005,"St. Clair County, Alabama",9.7
2005,"Shelby County, Alabama",10
2005,"Talladega County, Alabama",12.7
2005,"Tuscaloosa County, Alabama",11.2
2005,"Walker County, Alabama",12.9
2005,"Anchorage Municipality, Alaska",12.7
2005,"Fairbanks North Star Borough, Alaska",12
2005,"Matanuska-Susitna Borough, Alaska",11
2005,"Apache County, Arizona",10
2005,"Cochise County, Arizona",14
2005,"Coconino County, Arizona",8.4
2005,"Maricopa County, Arizona",11.4
2005,"Mohave County, Arizona",13.4
2005,"Navajo County, Arizona",7.7
2005,"Pima County, Arizona",12.5
2005,"Pinal County, Arizona",11
2005,"Yavapai County, Arizona",13.3
2005,"Yuma County, Arizona",9.3
2005,"Benton County, Arkansas",9.4
2005,"Craighead County, Arkansas",15
2005,"Faulkner County, Arkansas",11
2005,"Garland County, Arkansas",13
2005,"Jefferson County, Arkansas",12.3
2005,"Pulaski County, Arkansas",14
2005,"Saline County, Arkansas",12.9
2005,"Sebastian County, Arkansas",15.1
2005,"Washington County, Arkansas",12.2
2005,"White County, Arkansas",15.8
2005,"Alameda County, California",9.9
2005,"Butte County, California",11.4
2005,"Contra Costa County, California",9.3
2005,"El Dorado County, California",9.2
2005,"Fresno County, California",8.8
2005,"Humboldt County, California",13.1
2005,"Imperial County, California",5.5
2005,"Kern County, California",9.5
2005,"Kings County, California",9.4
2005,"Lake County, California",12.4
2005,"Los Angeles County, California",8.4
2005,"Madera County, California",5.8
2005,"Marin County, California",12.6
2005,"Mendocino County, California",15.8
2005,"Merced County, California",8.4
2005,"Monterey County, California",8.8
2005,"Napa County, California",10.6
2005,"Nevada County, California",11.4
2005,"Orange County, California",9.4
2005,"Placer County, California",9.7
2005,"Riverside County, California",9.2
2005,"Sacramento County, California",11.9
2005,"San Bernardino County, California",9.8
2005,"San Diego County, California",10.2
