county,year,totalfilings
Median Value,2005,
Autauga County AL,2005,424
Baldwin County AL,2005,1380
Barbour County AL  ,2005,257
Bibb County AL  ,2005,212
Blount County AL,2005,505
Bullock County AL  ,2005,65
Butler County AL  ,2005,167
Calhoun County AL,2005,989
Chambers County AL  ,2005,435
Cherokee County AL  ,2005,168
Chilton County AL  ,2005,252
Choctaw County AL  ,2005,96
Clarke County AL  ,2005,217
Clay County AL  ,2005,103
Cleburne County AL  ,2005,60
Coffee County AL  ,2005,390
Colbert County AL,2005,478
Conecuh County AL  ,2005,85
Coosa County AL  ,2005,80
Covington County AL  ,2005,247
Crenshaw County AL  ,2005,119
Cullman County AL,2005,779
Dale County AL,2005,485
Dallas County AL  ,2005,421
DeKalb County AL,2005,528
Elmore County AL,2005,622
Escambia County AL  ,2005,233
Etowah County AL,2005,961
Fayette County AL  ,2005,138
Franklin County AL  ,2005,206
Geneva County AL  ,2005,241
Greene County AL  ,2005,116
Hale County AL  ,2005,20
Henry County AL  ,2005,164
Houston County AL,2005,1022
Jackson County AL,2005,471
Jefferson County AL,2005,11119
Lamar County AL  ,2005,112
Lauderdale County AL,2005,723
Lawrence County AL  ,2005,318
Lee County AL,2005,858
Limestone County AL,2005,586
Lowndes County AL  ,2005,90
Macon County AL  ,2005,161
Madison County AL,2005,2672
Marengo County AL  ,2005,125
Marion County AL  ,2005,243
Marshall County AL,2005,871
Mobile County AL,2005,4842
Monroe County AL  ,2005,143
Montgomery County AL,2005,2065
Morgan County AL,2005,1174
Perry County AL  ,2005,58
Pickens County AL  ,2005,168
Pike County AL  ,2005,254
Randolph County AL  ,2005,132
Russell County AL,2005,640
St. Clair County AL,2005,752
Shelby County AL,2005,1491
Sumter County AL  ,2005,83
Talladega County AL,2005,889
Tallapoosa County AL  ,2005,315
Tuscaloosa County AL,2005,2224
Walker County AL,2005,709
Washington County AL  ,2005,149
Wilcox County AL  ,2005,75
Winston County AL  ,2005,169
Aleutians East Borough AK  ,2005,5
Aleutians West Census Area AK  ,2005,1
Anchorage Municipality AK,2005,1079
Bethel Census Area AK  ,2005,7
Bristol Bay Borough AK  ,2005,1
Denali Borough AK  ,2005,3
Dillingham Census Area AK  ,2005,4
Fairbanks North Star Borough AK,2005,367
Haines Borough AK  ,2005,4
Juneau City and Borough AK  ,2005,124
Kenai Peninsula Borough AK  ,2005,123
Ketchikan Gateway Borough AK  ,2005,69
Kodiak Island Borough AK  ,2005,30
Matanuska-Susitna Borough AK,2005,299
Nome Census Area AK  ,2005,3
Northwest Arctic Borough AK  ,2005,3
Prince of Wales-Outer Ketchikan Census Area AK  end   ,2005,4
Sitka City and Borough AK  ,2005,11
Skagway Municipality AK  ,2005,1
Skagway-Hoonah-Angoon Census Area AK  end   ,2005,3
Southeast Fairbanks Census Area AK  ,2005,15
Valdez-Cordova Census Area AK  ,2005,9
Wrangell-Petersburg Census Area AK  end   ,2005,10
Yukon-Koyukuk Census Area AK  ,2005,5
Apache County AZ  ,2005,137
Cochise County AZ,2005,614
Coconino County AZ,2005,469
Gila County AZ,2005,335
Graham County AZ  ,2005,159
Greenlee County AZ  ,2005,45
La Paz County AZ  ,2005,98
Maricopa County AZ    ,2005,26330
Mohave County AZ,2005,1502
Navajo County AZ,2005,393
Pima County AZ,2005,5771
Pinal County AZ,2005,1693
Santa Cruz County AZ  ,2005,258
Yavapai County AZ,2005,1097
Yuma County AZ,2005,811
Arkansas County AR  ,2005,244
Ashley County AR  ,2005,302
Baxter County AR,2005,347
Benton County AR,2005,1420
Boone County AR,2005,324
Bradley County AR  ,2005,180
Calhoun County AR  ,2005,54
Carroll County AR  ,2005,157
Chicot County AR  ,2005,161
Clark County AR  ,2005,216
Clay County AR  ,2005,168
Cleburne County AR  ,2005,225
Cleveland County AR  ,2005,109
Columbia County AR  ,2005,244
Conway County AR  ,2005,196
Craighead County AR,2005,1064
Crawford County AR,2005,666
Crittenden County AR,2005,750
Cross County AR  ,2005,248
Dallas County AR  ,2005,112
Desha County AR  ,2005,175
Drew County AR  ,2005,243
Faulkner County AR,2005,1070
Franklin County AR  ,2005,179
Fulton County AR  ,2005,69
Garland County AR,2005,1208
Grant County AR  ,2005,228
Greene County AR,2005,504
Hempstead County AR  ,2005,203
Hot Spring County AR  ,2005,380
Howard County AR  ,2005,114
Independence County AR,2005,341
Izard County AR  ,2005,84
Jackson County AR  ,2005,169
Jefferson County AR,2005,1507
Johnson County AR  ,2005,188
Lafayette County AR  ,2005,66
Lawrence County AR  ,2005,216
Lee County AR  ,2005,93
Lincoln County AR  ,2005,149
Little River County AR  ,2005,115
Logan County AR  ,2005,184
Lonoke County AR,2005,791
Madison County AR  ,2005,124
Marion County AR  ,2005,117
Miller County AR  ,2005,291
Mississippi County AR,2005,607
Monroe County AR  ,2005,87
Montgomery County AR  ,2005,76
Nevada County AR  ,2005,102
Newton County AR  ,2005,57
Ouachita County AR  ,2005,319
Perry County AR  ,2005,90
Phillips County AR  ,2005,257
Pike County AR  ,2005,77
Poinsett County AR  ,2005,313
Polk County AR  ,2005,128
Pope County AR,2005,560
Prairie County AR  ,2005,120
Pulaski County AR,2005,4904
Randolph County AR  ,2005,186
St. Francis County AR  ,2005,342
Saline County AR,2005,1145
Scott County AR  ,2005,85
Searcy County AR  ,2005,30
