county,year,credit_access
,,
AL-Autauga County,2007,73.68753953
AL-Baldwin County,2007,74.22320279
AL-Barbour County,2007,61.11111111
AL-Bibb County,2007,56.52173913
AL-Blount County,2007,72.29965157
AL-Bullock County,2007,53.52112676
AL-Butler County,2007,57.7689243
AL-Calhoun County,2007,70.51918736
AL-Chambers County,2007,70.29360967
AL-Cherokee County,2007,71.47239264
AL-Chilton County,2007,57.17255717
AL-Choctaw County,2007,56.98924731
AL-Clarke County,2007,66.8989547
AL-Clay County,2007,51.94805195
AL-Cleburne County,2007,67.17948718
AL-Coffee County,2007,75.0929368
AL-Colbert County,2007,74.36149312
AL-Conecuh County,2007,46.59090909
AL-Coosa County,2007,70.1754386
AL-Covington County,2007,54.28571429
AL-Crenshaw County,2007,49.12280702
AL-Cullman County,2007,76.31133672
AL-Dale County,2007,72.60083449
AL-Dallas County,2007,55.81854043
AL-DeKalb County,2007,73.95833333
AL-Elmore County,2007,74.53580902
AL-Escambia County,2007,55.77777778
AL-Etowah County,2007,74.98643516
AL-Fayette County,2007,65.70048309
AL-Franklin County,2007,75.07788162
AL-Geneva County,2007,60.72144289
AL-Greene County,2007,62.33766234
AL-Hale County,2007,73.11178248
AL-Henry County,2007,69.85074627
AL-Houston County,2007,73.77819549
AL-Jackson County,2007,69.75524476
AL-Jefferson County,2007,73.40680713
AL-Lamar County,2007,61.94690265
AL-Lauderdale County,2007,77.35310896
AL-Lawrence County,2007,71.92982456
AL-Lee County,2007,81.96641519
AL-Limestone County,2007,84.45454545
AL-Lowndes County,2007,39
AL-Macon County,2007,56.88622754
AL-Madison County,2007,81.21387283
AL-Marengo County,2007,64.16666667
AL-Marion County,2007,62.13017751
AL-Marshall County,2007,80.10471204
AL-Mobile County,2007,73.05699482
AL-Monroe County,2007,63.47826087
AL-Montgomery County,2007,75.9624593
AL-Morgan County,2007,82.13728549
AL-Perry County,2007,45.45454545
AL-Pickens County,2007,61.57407407
AL-Pike County,2007,66.94677871
AL-Randolph County,2007,67.59581882
AL-Russell County,2007,74.84407484
AL-St. Clair County,2007,75.03234153
AL-Shelby County,2007,80.82470994
AL-Sumter County,2007,61.01694915
AL-Talladega County,2007,61.94086429
AL-Tallapoosa County,2007,72.69372694
AL-Tuscaloosa County,2007,81.49741824
AL-Walker County,2007,60.45751634
AL-Washington County,2007,66.07142857
AL-Wilcox County,2007,53.44827586
AL-Winston County,2007,69.76047904
AK-Aleutians East Borough,2007,66.66666667
AK-Aleutians West Census Area,2007,53.84615385
AK-Anchorage Municipality,2007,81.43739641
AK-Bethel Census Area,2007,66.23376623
AK-Bristol Bay Borough,2007,60
AK-Denali Borough,2007,83.33333333
AK-Dillingham Census Area,2007,65
AK-Fairbanks North Star Borough,2007,80.45075943
AK-Haines Borough,2007,86.66666667
AK-Juneau City and Borough,2007,81.27208481
AK-Kenai Peninsula Borough,2007,77.21402214
AK-Ketchikan Gateway Borough,2007,65.26315789
AK-Kodiak Island Borough,2007,76.19047619
AK-Lake and Peninsula Borough,2007,0
AK-Matanuska-Susitna Borough,2007,79.30735931
AK-Nome Census Area,2007,76.19047619
AK-North Slope Borough,2007,56.25
AK-Northwest Arctic Borough,2007,65.2173913
AK-Sitka City and Borough,2007,67.77777778
AK-Southeast Fairbanks Census Area,2007,56.33802817
AK-Valdez-Cordova Census Area,2007,82.30088496
AK-Yakutat City and Borough,2007,50
AK-Yukon-Koyukuk Census Area,2007,60
AZ-Apache County,2007,62.96296296
AZ-Cochise County,2007,72.71624899
AZ-Coconino County,2007,72.63786442
AZ-Gila County,2007,70.25898079
AZ-Graham County,2007,70.78014184
AZ-Greenlee County,2007,50.61728395
AZ-La Paz County,2007,51.52838428
AZ-Maricopa County,2007,65.42767505
AZ-Mohave County,2007,65.84032793
AZ-Navajo County,2007,71.52812344
AZ-Pima County,2007,71.87989667
AZ-Pinal County,2007,67.37217461
AZ-Santa Cruz County,2007,63.05418719
AZ-Yavapai County,2007,70.43029872
AZ-Yuma County,2007,74.01285583
AR-Ashley County,2007,56.89655172
AR-Baxter County,2007,76.46103896
AR-Benton County,2007,76.66172107
AR-Boone County,2007,75.93582888
AR-Bradley County,2007,48.21428571
AR-Calhoun County,2007,64.28571429
AR-Carroll County,2007,73.4
AR-Chicot County,2007,53.33333333
AR-Clark County,2007,63.60759494
AR-Clay County,2007,62.74509804
AR-Cleburne County,2007,72.87853577
AR-Cleveland County,2007,59.55882353
AR-Columbia County,2007,64.25702811
AR-Conway County,2007,71.11913357
AR-Craighead County,2007,79.28902628
AR-Crawford County,2007,76.81498829
AR-Crittenden County,2007,73.74301676
AR-Cross County,2007,68.44106464
AR-Dallas County,2007,62.22222222
AR-Desha County,2007,62.71186441
AR-Drew County,2007,62.08791209
AR-Faulkner County,2007,80.18416206
AR-Franklin County,2007,67.94425087
AR-Fulton County,2007,64.93506494
AR-Garland County,2007,73.37423313
AR-Grant County,2007,65.625
AR-Greene County,2007,75.11737089
AR-Hempstead County,2007,63.67713004
AR-Hot Spring County,2007,68.62003781
AR-Howard County,2007,70.73170732
AR-Independence County,2007,67.87709497
AR-Izard County,2007,68.63905325
AR-Jackson County,2007,57.06214689
AR-Jefferson County,2007,63.27868852
AR-Johnson County,2007,74.68671679
AR-Lafayette County,2007,50
AR-Lawrence County,2007,66.66666667
AR-Lee County,2007,64.86486486
AR-Lincoln County,2007,54.67625899
AR-Little River County,2007,57.37704918
AR-Logan County,2007,61.07594937
AR-Lonoke County,2007,78.36780324
AR-Madison County,2007,60.09852217
AR-Marion County,2007,71.72131148
AR-Miller County,2007,71.00840336
AR-Mississippi County,2007,63.12684366
AR-Monroe County,2007,69.62025316
AR-Montgomery County,2007,67.9389313
AR-Nevada County,2007,56.94444444
AR-Newton County,2007,68.38235294
AR-Ouachita County,2007,58.86075949
AR-Perry County,2007,65.77181208
AR-Phillips County,2007,49.66887417
AR-Pike County,2007,63
AR-Poinsett County,2007,61.17936118
AR-Polk County,2007,67.59259259
AR-Pope County,2007,79.92164545
AR-Prairie County,2007,62.12121212
AR-Pulaski County,2007,76.1686194
AR-Randolph County,2007,60.52631579
AR-St. Francis County,2007,64.72727273
AR-Saline County,2007,79.210431
AR-Scott County,2007,56.11510791
AR-Searcy County,2007,69.02654867
AR-Sebastian County,2007,81.195801
AR-Sevier County,2007,71.07438017
AR-Sharp County,2007,69.51672862
AR-Stone County,2007,74.79674797
AR-Union County,2007,67.17850288
AR-Van Buren County,2007,63.22580645
AR-Washington County,2007,76.32323232
AR-White County,2007,74.01129944
AR-Woodruff County,2007,65.71428571
AR-Yell County,2007,74.41077441
CA-Alameda County,2007,59.69347065
CA-Alpine County,2007,77.27272727
CA-Amador County,2007,66.66666667
CA-Butte County,2007,69.77699531
CA-Calaveras County,2007,66.54445463
CA-Colusa County,2007,53.45454545
CA-Contra Costa County,2007,58.21306894
CA-Del Norte County,2007,60.35087719
CA-El Dorado County,2007,67.54867698
CA-Fresno County,2007,59.09749035
CA-Glenn County,2007,63.2218845
CA-Humboldt County,2007,70.65462754
CA-Imperial County,2007,53.18396226
CA-Inyo County,2007,73.17073171
CA-Kern County,2007,56.82296749
CA-Kings County,2007,64.80627306
CA-Lake County,2007,61.13236419
CA-Lassen County,2007,71.49321267
CA-Los Angeles County,2007,54.52120936
CA-Madera County,2007,53.74757282
CA-Marin County,2007,69.03482122
CA-Mariposa County,2007,62.79863481
CA-Mendocino County,2007,59.27021696
CA-Merced County,2007,52.82497876
CA-Modoc County,2007,63.50364964
CA-Mono County,2007,65.625
CA-Monterey County,2007,54.83473619
CA-Napa County,2007,59.64419476
CA-Nevada County,2007,70.4
CA-Orange County,2007,59.97416344
CA-Placer County,2007,68.75303722
CA-Plumas County,2007,69.2722372
CA-Riverside County,2007,55.45865923
CA-Sacramento County,2007,60.06677459
CA-San Benito County,2007,53.19426336
CA-San Bernardino County,2007,53.05307366
CA-San Diego County,2007,62.1391296
CA-San Francisco County,2007,66.65853857
CA-San Joaquin County,2007,51.42160845
CA-San Luis Obispo County,2007,68.4341859
CA-San Mateo County,2007,66.35748308
CA-Santa Barbara County,2007,62.44508118
CA-Santa Clara County,2007,61.58710907
CA-Santa Cruz County,2007,66.01146601
CA-Shasta County,2007,73.08474576
CA-Sierra County,2007,62.79069767
CA-Siskiyou County,2007,73.79310345
CA-Solano County,2007,55.68141171
CA-Sonoma County,2007,63.88209393
CA-Stanislaus County,2007,56.41824026
CA-Sutter County,2007,65.6133829
CA-Tehama County,2007,60.57906459
CA-Trinity County,2007,65.24390244
CA-Tulare County,2007,62.10170373
CA-Tuolumne County,2007,66.89587426
CA-Ventura County,2007,62.14232815
CA-Yolo County,2007,66.99970614
CA-Yuba County,2007,62.51944012
CT-Fairfield County,2007,70.46164701
CT-Hartford County,2007,73.23252051
CT-Litchfield County,2007,75.27151211
CT-Middlesex County,2007,78.50853054
CT-New Haven County,2007,70.4092786
CT-New London County,2007,76.323868
CT-Tolland County,2007,77.65667575
CT-Windham County,2007,72.29660144
GA-Appling County,2007,53.42465753
GA-Atkinson County,2007,62.16216216
GA-Bacon County,2007,53.125
GA-Baker County,2007,66.60412758
GA-Baldwin County,2007,68.0445151
GA-Banks County,2007,71.90082645
GA-Barrow County,2007,78.35550181
GA-Bartow County,2007,78.20457488
GA-Ben Hill County,2007,63.24324324
GA-Berrien County,2007,70.40816327
GA-Bibb County,2007,69.42178077
GA-Bleckley County,2007,73.86363636
GA-Brantley County,2007,68.42105263
GA-Brooks County,2007,65.43778802
GA-Bryan County,2007,82.37317283
GA-Bulloch County,2007,78.53107345
GA-Burke County,2007,62.3100304
GA-Butts County,2007,77.51277683
GA-Calhoun County,2007,61.96319018
GA-Camden County,2007,79.72789116
GA-Candler County,2007,67.56756757
GA-Carroll County,2007,72.72033575
GA-Catoosa County,2007,72.9519774
GA-Charlton County,2007,59.80392157
GA-Chatham County,2007,77.61560694
GA-Chattahoochee County,2007,73.68421053
GA-Chattooga County,2007,70.41800643
GA-Cherokee County,2007,79.23923645
GA-Clarke County,2007,82.20052572
GA-Clay County,2007,70.97219483
GA-Clayton County,2007,61.83174472
GA-Clinch County,2007,78.84615385
GA-Cobb County,2007,75.23958333
GA-Coffee County,2007,58.13449024
GA-Colquitt County,2007,64.27378965
GA-Columbia County,2007,80.74673864
GA-Cook County,2007,64.96350365
GA-Coweta County,2007,78.79314626
GA-Crawford County,2007,67.01570681
GA-Crisp County,2007,72.06703911
GA-Dade County,2007,65.98639456
GA-Dawson County,2007,73.60482655
GA-Decatur County,2007,61.81818182
GA-DeKalb County,2007,64.82163629
GA-Dodge County,2007,73.75886525
GA-Dooly County,2007,70.27027027
GA-Dougherty County,2007,71.27916331
GA-Douglas County,2007,71.72787774
GA-Early County,2007,64.22018349
GA-Echols County,2007,54.83870968
GA-Effingham County,2007,78.89298893
GA-Elbert County,2007,70.74468085
GA-Emanuel County,2007,59.74025974
GA-Evans County,2007,74.74747475
GA-Fannin County,2007,75.76687117
GA-Fayette County,2007,72.66903915
GA-Floyd County,2007,77.43009321
GA-Forsyth County,2007,81.26809496
GA-Franklin County,2007,68.08823529
GA-Fulton County,2007,62.8894568
GA-Gilmer County,2007,72.52873563
GA-Glascock County,2007,72
GA-Glynn County,2007,75.18391368
GA-Gordon County,2007,75.49212598
GA-Grady County,2007,63.73626374
GA-Greene County,2007,78.46534653
GA-Gwinnett County,2007,73.03184008
GA-Habersham County,2007,79.97097242
GA-Hall County,2007,76.64888458
GA-Hancock County,2007,65.25423729
GA-Haralson County,2007,75.77639752
GA-Harris County,2007,78.98465171
GA-Hart County,2007,73.07692308
GA-Heard County,2007,63.79310345
GA-Henry County,2007,69.49878623
GA-Houston County,2007,82.30419674
GA-Irwin County,2007,71.83098592
GA-Jackson County,2007,75.14792899
GA-Jasper County,2007,75.07331378
GA-Jeff Davis County,2007,63.63636364
GA-Jefferson County,2007,70.18348624
GA-Jenkins County,2007,72.46376812
GA-Johnson County,2007,60.86956522
GA-Jones County,2007,74.81617647
GA-Lamar County,2007,81.22743682
GA-Lanier County,2007,79.41176471
GA-Laurens County,2007,71.60751566
GA-Lee County,2007,60.18193732
GA-Liberty County,2007,79.71854305
GA-Lincoln County,2007,52.5974026
GA-Long County,2007,82.59109312
GA-Lowndes County,2007,80.99206349
GA-Lumpkin County,2007,80.84507042
GA-McDuffie County,2007,67.54716981
